STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,CHR_Health_Outcomes_Z-Score,CHR_Health_Outcomes_Rank,CHR_Health_Factors_Z-Score,CHR_Health_Factors_Rank,SVI_SPL_THEMES,SVI_RPL_THEMES,SoVI,SoVI_Percentile,SDI_score,SDI_fpl_100_score,NRI_RISK_SCORE,NRI_RISK_RATNG,NRI_RISK_NPCTL,NRI_RISK_SPCTL,MDI_rate,MDI_Standard Error,CRE_PRED0_E,CRE_PRED0_M,CRE_PRED0_PE,CRE_PRED0_PM,CRE_PRED12_E,CRE_PRED12_M,CRE_PRED12_PE,CRE_PRED12_PM,CRE_PRED3_E,CRE_PRED3_M,CRE_PRED3_PE,CRE_PRED3_PM,BRIC_SOCIAL,BRIC_ECONOM,BRIC_HOUSING/INFRA,BRIC_COMM CAPITL,BRIC_INSTITUTIONAL,BRIC_ENVIRONMNT,BRIC
"36","023","00974110",0500000US36023,"36023",Cortland,"06","1291815778","7112822","36023","0.61","49","0.04","30","6.1312","0.1803","-0.540000021","41.2","38","44","7.974097552",Very Low,"38.41502228","37.09677419","0.102","0.0152","18402","4519","41.48","10.19","16775","4505","37.81","10.16","9186","3716","20.71","8.38","0.735770916","0.492952092","0.316170109","0.401651969","0.387099346","0.600605195","2.934249627"
"36","001","00974099",0500000US36001,"36001",Albany,"06","1354120790","27124553","36001","-0.39","16","-0.62","7","6.0982","0.1639","-0.870000005","35.9","36","37","11.71273387",Relatively Low,"70.97390197","77.41935484","0.1268","0.0189","121013","31425","41.37","10.74","113647","31792","38.86","10.87","57829","25538","19.77","8.73","0.70767985","0.496677383","0.335388829","0.402586657","0.408814268","0.600213881","2.951360867"
"36","007","00974102",0500000US36007,"36007",Broome,"06","1828055107","25117478","36007","0.52","47","0.15","38","8.8034","0.8197","0.649999976","61.3","52","68","17.07016515",Relatively Moderate,"89.62444303","93.5483871","0.1226","0.0176","66723","19179","36.54","10.5","73488","19208","40.25","10.52","42386","15824","23.21","8.67","0.698312935","0.477766571","0.326499862","0.401249022","0.39503372","0.595824034","2.894686144"
"36","037","00974117",0500000US36037,"36037",Genesee,"06","1276700275","6142607","36037","0.39","43","0","28","4.4755","0.0656","-1.080000043","32.7","22","36","8.461990093",Relatively Low,"44.01654997","43.5483871","0.1336","0.0186","23498","5350","41.85","9.53","21753","5328","38.74","9.49","10902","4349","19.41","7.75","0.721251736","0.491752616","0.322938449","0.424593511","0.386935567","0.629387386","2.976859264"
"36","005","00974101",0500000US36005,"36005",Bronx,"06","108908944","39688554","36005","1.4","62","1.41","62","11.8525","1","14.10000038","99.9","100","99","55.54713622",Very High,"99.87269255","100","0.3428","0.0081","199544","139600","14.24","9.96","613183","176671","43.75","12.61","588820","168990","42.01","12.06","0.573903733","0.408494656","0.395675245","0.22279711","0.391145273","0.510088716","2.502104734"
"36","055","00974126",0500000US36055,"36055",Monroe,"06","1701292247","1838454277","36055","0.24","38","-0.16","22","7.9673","0.6721","-0.07","48.8","49","48","13.3303679",Relatively Low,"78.45321451","82.25806452","0.1453","0.0061","289318","74497","39.88","10.27","282269","75966","38.91","10.47","153831","61564","21.21","8.49","0.696593158","0.483454148","0.333423095","0.389185825","0.392985487","0.599595732","2.895237446"
"36","035","00974116",0500000US36035,"36035",Fulton,"06","1283234675","96916406","36035","0.68","51","0.57","59","7.918","0.6557","0.99000001","66.2","54","62","7.67821884",Very Low,"35.45512412","33.87096774","0.1694","0.0236","18390","5659","34.76","10.7","22435","5627","42.4","10.63","12082","4617","22.84","8.73","0.68880609","0.473275678","0.299080027","0.373797484","0.411809725","0.617253649","2.864022653"
"36","089","00977309",0500000US36089,"36089",St. Lawrence,"06","6939274584","367900953","36089","0.29","42","0.49","55","10.164","0.9508","0.129999995","52.3","58","83","8.266183467",Relatively Low,"41.8204965","40.32258065","0.1729","0.023","34723","9408","35.32","9.57","37868","9454","38.52","9.62","25719","7893","26.16","8.03","0.709516677","0.442642906","0.288148349","0.357214023","0.349885932","0.631803487","2.779211375"
"36","083","00974140",0500000US36083,"36083",Rensselaer,"06","1689851801","33533586","36083","0.11","34","-0.23","18","6.3445","0.2459","-1.529999971","26.4","37","29","8.677134381",Relatively Low,"46.21260344","46.77419355","0.1297","0.0155","60969","16508","39.45","10.68","61733","16456","39.94","10.65","31856","13235","20.61","8.56","0.713253532","0.496109214","0.317631769","0.382171525","0.4187876","0.606812855","2.934766496"
"36","003","00974100",0500000US36003,"36003",Allegany,"06","2666029673","12999275","36003","0.51","45","0.46","54","8.328","0.7541","-0.409999996","43.1","44","58","7.585567633",Very Low,"34.56397199","30.64516129","0.1389","0.0127","14257","3580","33.69","8.46","16506","3611","39","8.53","11557","3043","27.31","7.19","0.707741889","0.445088884","0.259028773","0.367401769","0.368150227","0.601306992","2.748718534"
"36","101","00974148",0500000US36101,"36101",Steuben,"06","3601504766","35055664","36101","0.16","36","0.08","32","7.5737","0.5574","-0.330000013","44.3","45","55","10.01579433",Relatively Low,"58.05219605","61.29032258","0.1336","0.0169","36067","8756","37.99","9.22","37573","8813","39.58","9.28","21301","7384","22.44","7.78","0.701665238","0.465400825","0.288896901","0.411837008","0.376954367","0.598594744","2.843349083"
"36","063","00974130",0500000US36063,"36063",Niagara,"06","1352887109","1598842825","36063","0.76","55","0.25","44","6.3112","0.2131","0.400000006","56.9","34","38","9.090907587",Relatively Low,"50.03182686","51.61290323","0.1132","0.0146","86215","22685","41.55","10.93","78360","22539","37.77","10.86","42909","18173","20.68","8.76","0.707671644","0.471947104","0.336040111","0.382250933","0.389169701","0.615872393","2.902951886"
"36","111","00974153",0500000US36111,"36111",Ulster,"06","2911757798","94596946","36111","-0.19","24","-0.15","23","7.2622","0.4754","-1.299999952","29.3","34","32","11.60001037",Relatively Low,"70.17823043","75.80645161","0.132","0.0207","69117","17803","40.2","10.36","67296","17810","39.14","10.36","35503","14383","20.65","8.37","0.709996894","0.461807358","0.309430653","0.375338795","0.428071134","0.614091254","2.898736089"
"36","087","00974142",0500000US36087,"36087",Rockland,"06","449197039","66864253","36087","-1.55","1","-0.58","9","7.8033","0.623","-2.019999981","21.1","43","44","10.10700864",Relatively Low,"58.87969446","64.51612903","0.1527","0.0244","108968","31660","33.63","9.77","142074","33872","43.85","10.45","72985","28830","22.52","8.9","0.699190176","0.485293244","0.334787765","0.337283382","0.432046106","0.590541115","2.879141788"
